datetime,Symbol,Open,High,Low,Close,Volume
2026-01-09 21:30:00,BINANCE:BTCUSD,91076.27,91745.49,91076.27,91515.69,0.13536
2026-01-09 22:30:00,BINANCE:BTCUSD,91541.19,91968.52,91003.89,91470.15,0.1609
2026-01-09 23:30:00,BINANCE:BTCUSD,91355.31,91441.06,90468.75,90836.98,0.04477
2026-01-10 00:30:00,BINANCE:BTCUSD,90715.58,90715.58,90160.27,90290.57,0.05645
2026-01-10 01:30:00,BINANCE:BTCUSD,90293.77,90457.19,90214.75,90214.75,0.01218
2026-01-10 02:30:00,BINANCE:BTCUSD,90251.61,90443.62,90160.27,90424.77,0.03295
2026-01-10 03:30:00,BINANCE:BTCUSD,90470.14,90587.21,90290.57,90543.03,0.06847
2026-01-10 04:30:00,BINANCE:BTCUSD,90542.21,90624.24,90538.96,90570.03,1.36978
2026-01-10 05:30:00,BINANCE:BTCUSD,90594.06,90594.06,90464.03,90507.45,0.02681
2026-01-10 06:30:00,BINANCE:BTCUSD,90551.23,90551.23,90550.91,90550.91,0.0023
2026-01-10 07:30:00,BINANCE:BTCUSD,90592.84,90599.59,90592.84,90599.59,0.00459
2026-01-10 08:30:00,BINANCE:BTCUSD,90555.54,90558.92,90520.1,90558.92,0.00604
2026-01-10 09:30:00,BINANCE:BTCUSD,90443.6,90457.96,90366.97,90366.97,0.00164
2026-01-10 11:30:00,BINANCE:BTCUSD,90508.46,90508.46,90414.96,90434.32,0.0132
2026-01-10 12:30:00,BINANCE:BTCUSD,90482.88,90528.89,90482.88,90528.89,0.00566
2026-01-10 13:30:00,BINANCE:BTCUSD,90568.81,90568.81,90564.88,90564.88,0.00532
2026-01-10 14:30:00,BINANCE:BTCUSD,90569.0,90653.26,90538.24,90653.26,0.03314
2026-01-10 15:30:00,BINANCE:BTCUSD,90661.54,90749.52,90661.54,90749.52,0.02779
2026-01-10 16:30:00,BINANCE:BTCUSD,90749.52,90755.31,90650.06,90650.06,0.03905
2026-01-10 17:30:00,BINANCE:BTCUSD,90650.06,90768.5,90631.68,90768.5,0.04509
2026-01-10 18:30:00,BINANCE:BTCUSD,90654.81,90654.81,90593.67,90654.27,0.05522
2026-01-10 19:30:00,BINANCE:BTCUSD,90602.99,90602.99,90512.27,90512.27,0.0175
2026-01-10 20:30:00,BINANCE:BTCUSD,90562.04,90618.73,90562.04,90576.47,0.00674
2026-01-10 21:30:00,BINANCE:BTCUSD,90625.23,90625.23,90549.67,90617.9,0.02726
2026-01-10 22:30:00,BINANCE:BTCUSD,90617.9,90673.39,90523.52,90523.52,0.00799
2026-01-10 23:30:00,BINANCE:BTCUSD,90510.05,90596.12,90423.6,90523.14,0.01763
2026-01-11 00:30:00,BINANCE:BTCUSD,90523.14,90580.33,90523.14,90556.78,0.01385
2026-01-11 01:30:00,BINANCE:BTCUSD,90558.67,90583.54,90512.06,90512.06,0.0167
2026-01-11 02:30:00,BINANCE:BTCUSD,90453.36,90505.78,90376.82,90437.96,0.02101
2026-01-11 03:30:00,BINANCE:BTCUSD,90437.96,90437.97,90335.91,90414.81,0.02111
2026-01-11 04:30:00,BINANCE:BTCUSD,90368.32,90551.71,90368.32,90414.99,0.61491
2026-01-11 05:30:00,BINANCE:BTCUSD,90409.96,90536.03,90369.01,90536.01,0.9064
2026-01-11 06:30:00,BINANCE:BTCUSD,90539.96,90571.59,90460.97,90507.96,1.15322
2026-01-11 07:30:00,BINANCE:BTCUSD,90534.36,90634.04,90533.97,90604.49,0.79945
2026-01-11 08:30:00,BINANCE:BTCUSD,90619.77,90645.99,90553.02,90645.99,0.71422
2026-01-11 09:30:00,BINANCE:BTCUSD,90628.0,90701.88,90605.81,90683.99,0.52227
2026-01-11 10:30:00,BINANCE:BTCUSD,90682.45,90765.0,90682.45,90691.0,0.5064
2026-01-11 11:30:00,BINANCE:BTCUSD,90708.0,90737.0,90528.94,90635.17,0.00777
2026-01-11 12:30:00,BINANCE:BTCUSD,90586.26,90647.19,90576.21,90615.96,0.18698
2026-01-11 13:30:00,BINANCE:BTCUSD,90613.96,90717.04,90521.88,90704.97,1.44837
2026-01-11 14:30:00,BINANCE:BTCUSD,90674.01,90717.82,90596.67,90684.0,1.35525
2026-01-11 15:30:00,BINANCE:BTCUSD,90675.98,90675.98,90563.65,90613.04,0.20295
2026-01-11 16:30:00,BINANCE:BTCUSD,90662.03,90662.03,90604.37,90656.16,0.15621
